func_id,truth_table_hex,gnn_cnot,lgb_cnot,diff_gnn_minus_lgb
0,0x01,14,14,0
1,0x02,14,14,0
2,0x03,6,6,0
3,0x04,14,14,0
4,0x05,6,6,0
5,0x06,8,8,0
6,0x07,20,20,0
7,0x08,14,14,0
8,0x09,8,8,0
9,0x0A,6,6,0
10,0x0B,20,20,0
11,0x0C,6,6,0
12,0x0D,20,20,0
13,0x0E,20,20,0
14,0x0F,4,1,3
15,0x10,14,14,0
16,0x11,6,6,0
17,0x12,8,8,0
18,0x13,20,20,0
19,0x14,8,8,0
20,0x15,20,20,0
21,0x16,22,22,0
22,0x17,56,18,38
23,0x18,10,28,-18
24,0x19,20,20,0
25,0x1A,20,20,0
26,0x1B,56,12,44
27,0x1C,20,20,0
28,0x1D,56,12,44
29,0x1E,56,34,22
30,0x1F,15,15,0
31,0x20,14,14,0
32,0x21,8,8,0
33,0x22,6,6,0
34,0x23,20,20,0
35,0x24,10,28,-18
36,0x25,20,20,0
37,0x26,20,20,0
38,0x27,56,12,44
39,0x28,8,8,0
40,0x29,22,22,0
41,0x2A,20,20,0
42,0x2B,56,14,42
43,0x2C,20,20,0
44,0x2D,56,14,42
45,0x2E,56,12,44
46,0x2F,15,15,0
47,0x30,6,6,0
48,0x31,20,20,0
49,0x32,20,20,0
50,0x33,4,1,3
51,0x34,20,20,0
52,0x35,56,12,44
53,0x36,56,34,22
54,0x37,15,15,0
55,0x38,20,20,0
56,0x39,56,14,42
57,0x3A,56,12,44
58,0x3B,15,15,0
59,0x3C,2,12,-10
60,0x3D,16,16,0
61,0x3E,16,16,0
62,0x3F,29,7,22
63,0x40,14,14,0
64,0x41,8,8,0
65,0x42,10,28,-18
66,0x43,20,20,0
67,0x44,6,6,0
68,0x45,20,20,0
69,0x46,20,20,0
70,0x47,56,12,44
71,0x48,8,8,0
72,0x49,22,22,0
73,0x4A,20,20,0
74,0x4B,56,14,42
75,0x4C,20,20,0
76,0x4D,56,14,42
77,0x4E,56,12,44
78,0x4F,15,15,0
79,0x50,6,6,0
80,0x51,20,20,0
81,0x52,20,20,0
82,0x53,56,12,44
83,0x54,20,20,0
84,0x55,4,1,3
85,0x56,56,34,22
86,0x57,15,15,0
87,0x58,20,20,0
88,0x59,56,14,42
89,0x5A,2,12,-10
90,0x5B,16,16,0
91,0x5C,56,12,44
92,0x5D,15,15,0
93,0x5E,16,16,0
94,0x5F,29,7,22
95,0x60,8,8,0
96,0x61,22,22,0
97,0x62,20,20,0
98,0x63,56,14,42
99,0x64,20,20,0
100,0x65,56,14,42
101,0x66,2,12,-10
102,0x67,16,16,0
103,0x68,22,22,0
104,0x69,3,36,-33
105,0x6A,56,14,42
106,0x6B,17,17,0
107,0x6C,56,14,42
108,0x6D,17,17,0
109,0x6E,16,16,0
110,0x6F,29,15,14
111,0x70,20,20,0
112,0x71,56,14,42
113,0x72,56,12,44
114,0x73,15,15,0
115,0x74,56,12,44
116,0x75,15,15,0
117,0x76,16,16,0
118,0x77,29,7,22
119,0x78,56,14,42
120,0x79,17,17,0
121,0x7A,16,16,0
122,0x7B,29,15,14
123,0x7C,16,16,0
124,0x7D,29,15,14
125,0x7E,31,18,13
126,0x7F,45,21,24
127,0x80,14,14,0
128,0x81,10,28,-18
129,0x82,8,8,0
130,0x83,20,20,0
131,0x84,8,8,0
132,0x85,20,20,0
133,0x86,22,22,0
134,0x87,56,34,22
135,0x88,6,6,0
136,0x89,20,20,0
137,0x8A,20,20,0
138,0x8B,56,12,44
139,0x8C,20,20,0
140,0x8D,56,12,44
141,0x8E,56,18,38
142,0x8F,15,15,0
143,0x90,8,8,0
144,0x91,20,20,0
145,0x92,22,22,0
146,0x93,56,34,22
147,0x94,22,22,0
148,0x95,56,34,22
149,0x96,3,3,0
150,0x97,17,17,0
151,0x98,20,20,0
152,0x99,2,12,-10
153,0x9A,56,34,22
154,0x9B,16,16,0
155,0x9C,56,34,22
156,0x9D,16,16,0
157,0x9E,17,17,0
158,0x9F,29,14,15
159,0xA0,6,6,0
160,0xA1,20,20,0
161,0xA2,20,20,0
162,0xA3,56,12,44
163,0xA4,20,20,0
164,0xA5,2,12,-10
165,0xA6,56,34,22
166,0xA7,16,16,0
167,0xA8,20,20,0
168,0xA9,56,34,22
169,0xAA,4,1,3
170,0xAB,15,15,0
171,0xAC,56,12,44
172,0xAD,16,16,0
173,0xAE,15,15,0
174,0xAF,29,7,22
175,0xB0,20,20,0
176,0xB1,56,12,44
177,0xB2,56,18,38
178,0xB3,15,15,0
179,0xB4,56,34,22
180,0xB5,16,16,0
181,0xB6,17,17,0
182,0xB7,29,14,15
183,0xB8,56,12,44
184,0xB9,16,16,0
185,0xBA,15,15,0
186,0xBB,29,7,22
187,0xBC,16,16,0
188,0xBD,31,20,11
189,0xBE,29,14,15
190,0xBF,45,21,24
191,0xC0,6,6,0
192,0xC1,20,20,0
193,0xC2,20,20,0
194,0xC3,2,12,-10
195,0xC4,20,20,0
196,0xC5,56,12,44
197,0xC6,56,34,22
198,0xC7,16,16,0
199,0xC8,20,20,0
200,0xC9,56,34,22
201,0xCA,56,12,44
202,0xCB,16,16,0
203,0xCC,4,1,3
204,0xCD,15,15,0
205,0xCE,15,15,0
206,0xCF,29,7,22
207,0xD0,20,20,0
208,0xD1,56,12,44
209,0xD2,56,34,22
210,0xD3,16,16,0
211,0xD4,56,18,38
212,0xD5,15,15,0
213,0xD6,17,17,0
214,0xD7,29,14,15
215,0xD8,56,12,44
216,0xD9,16,16,0
217,0xDA,16,16,0
218,0xDB,31,20,11
219,0xDC,15,15,0
220,0xDD,29,7,22
221,0xDE,29,14,15
222,0xDF,45,21,24
223,0xE0,20,20,0
224,0xE1,56,34,22
225,0xE2,56,12,44
226,0xE3,16,16,0
227,0xE4,56,12,44
228,0xE5,16,16,0
229,0xE6,16,16,0
230,0xE7,31,20,11
231,0xE8,56,18,38
232,0xE9,17,17,0
233,0xEA,15,15,0
234,0xEB,29,14,15
235,0xEC,15,15,0
236,0xED,29,14,15
237,0xEE,29,7,22
238,0xEF,45,21,24
239,0xF0,4,1,3
240,0xF1,15,15,0
241,0xF2,15,15,0
242,0xF3,29,7,22
243,0xF4,15,15,0
244,0xF5,29,7,22
245,0xF6,29,14,15
246,0xF7,45,21,24
247,0xF8,15,15,0
248,0xF9,29,14,15
249,0xFA,29,7,22
250,0xFB,45,21,24
251,0xFC,29,7,22
252,0xFD,45,21,24
253,0xFE,45,22,23
254,0xFF,0,0,0
