check_type,item,status,file,line,matched_text,evidence,next_action
unsupported_claim,hardware mapping claim,guarded,submission_package/README.md,9,"s"". The package is prepared for a logical-layer quantum Boolean oracle synthesis paper. It does not include hardware mapping, routing, native-gate scheduling, noise modeling, or magic-state-factory accounting. ## Primary Upload Artifacts - Main manuscript source: `../paper_latex/resource_nmcts_submission_v1.tex` - Main manuscript PDF: `../paper_latex/resource_nmcts_submiss",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/README.md,234,"direct/ESOP/SSHR/ABC/BDD/toolchain/RevKit probes. - High-dimensional symbolic and bridge-truth-table verification within the stated generated-instance scope. Not supported: - Hardware-mapped performance. - Universal CNOT, depth, ancilla, or line-count dominance. - A full ROS SAT garbage-management reproduction. - Official ROS source-discovery note: no official ROS imp",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,full external reproduction claim,guarded,submission_package/README.md,98,"nthesis` API performance probe over the same traditional `n<=6` functions; it verifies 531/531 ANF-XAG strategy rows and 177/177 best-of-Caterpillar rows, but is still not the full ROS LUT/SAT flow. - `../results/analysis_submission_metadata_pipeline_selftest.md`: synthetic, non-private self-test for the metadata validator and private-preview renderers. - `.","The ROS and RevKit branches are bounded probes, not full external compiler reproductions.",No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,full external reproduction claim,guarded,submission_package/README.md,220,have zero unresolved items before upload. `../results/analysis_ros_reproduction_gap_audit.md` records the ROS-specific boundary between the verified LUT proxy and the unreproduced full ROS SAT-garbage-management flow. Supported: - Resource-constrained ANF/FPRM search for Boolean oracle synthesis. - Neural/MCTS/search-control assistance with guarded candidate selec,"The ROS and RevKit branches are bounded probes, not full external compiler reproductions.",No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,full external reproduction claim,guarded,submission_package/README.md,236,"uth-table verification within the stated generated-instance scope. Not supported: - Hardware-mapped performance. - Universal CNOT, depth, ancilla, or line-count dominance. - A full ROS SAT garbage-management reproduction. - Official ROS source-discovery note: no official ROS implementation repository or local ROS executable is included; the accessible public a","The ROS and RevKit branches are bounded probes, not full external compiler reproductions.",No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,full external reproduction claim,guarded,submission_package/README.md,241,"e public artifacts are the ROS paper and the STG benchmark table. The Caterpillar API probe is an implementation-family performance counterpoint, not an official ROS run. - A final Clifford+T decomposition claim for RevKit `oracle_synth` Rz outputs. - Exhaustive truth-table benchmarking for all large-dimensional functions. ## Rebuild And Verification Run these comman","The ROS and RevKit branches are bounded probes, not full external compiler reproductions.",No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/FINAL_SUBMISSION_HANDOFF_zh.md,119,sis_payload_verifier_smoke_audit.md` - `results/analysis_submission_package_verifier.md` ## 不能改坏的论文边界 - Only claim logical-layer quantum Boolean oracle synthesis。 - Do not claim hardware mapping、routing、native-gate scheduling、noise-aware compilation。 - Do not claim universal dominance over SSHR、CirKit、RevKit，尤其不要把 weighted-score 胜利写成 CNOT/depth/ancilla 全胜。 - Treat Rev,Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/FINAL_SUBMISSION_HANDOFF_zh.md,119,ier_smoke_audit.md` - `results/analysis_submission_package_verifier.md` ## 不能改坏的论文边界 - Only claim logical-layer quantum Boolean oracle synthesis。 - Do not claim hardware mapping、routing、native-gate scheduling、noise-aware compilation。 - Do not claim universal dominance over SSHR、CirKit、RevKit，尤其不要把 weighted-score 胜利写成 CNOT/depth/ancilla 全胜。 - Treat RevKit `ora,Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/FINAL_SUBMISSION_HANDOFF_zh.md,119,e_audit.md` - `results/analysis_submission_package_verifier.md` ## 不能改坏的论文边界 - Only claim logical-layer quantum Boolean oracle synthesis。 - Do not claim hardware mapping、routing、native-gate scheduling、noise-aware compilation。 - Do not claim universal dominance over SSHR、CirKit、RevKit，尤其不要把 weighted-score 胜利写成 CNOT/depth/ancilla 全胜。 - Treat RevKit `oracle_synth` as a phase/R,Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/FINAL_SUBMISSION_HANDOFF_zh.md,119,analysis_submission_package_verifier.md` ## 不能改坏的论文边界 - Only claim logical-layer quantum Boolean oracle synthesis。 - Do not claim hardware mapping、routing、native-gate scheduling、noise-aware compilation。 - Do not claim universal dominance over SSHR、CirKit、RevKit，尤其不要把 weighted-score 胜利写成 CNOT/depth/ancilla 全胜。 - Treat RevKit `oracle_synth` as a phase/Rz lower-boun,Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,universal dominance claim,guarded,submission_package/FINAL_SUBMISSION_HANDOFF_zh.md,121,"## 不能改坏的论文边界 - Only claim logical-layer quantum Boolean oracle synthesis。 - Do not claim hardware mapping、routing、native-gate scheduling、noise-aware compilation。 - Do not claim universal dominance over SSHR、CirKit、RevKit，尤其不要把 weighted-score 胜利写成 CNOT/depth/ancilla 全胜。 - Treat RevKit `oracle_synth` as a phase/Rz lower-bound or sensitivity probe, not a final Clifford+T c","The paper supports T-count and weighted-score advantages, not all-metric dominance.",No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,full external reproduction claim,guarded,submission_package/FINAL_SUBMISSION_HANDOFF_zh.md,124,"niversal dominance over SSHR、CirKit、RevKit，尤其不要把 weighted-score 胜利写成 CNOT/depth/ancilla 全胜。 - Treat RevKit `oracle_synth` as a phase/Rz lower-bound or sensitivity probe, not a final Clifford+T comparison。 - Frame AI as search control、ranking、pruning、guard 和 Pareto selection 的组合， not as deep learning alone explaining the full resource reduction。 ## 作者最终判断 如果目标期刊已经确定、","The ROS and RevKit branches are bounded probes, not full external compiler reproductions.",No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/cover_letter_template.md,7,", Boolean-ring actions, Pareto archives, frontier controllers, and baseline-preserving guards. The work is intentionally limited to logical resource estimation and does not claim hardware mapping, routing, native-gate scheduling, or noise-aware compilation. The main contribution is a search-based oracle synthesis workflow with a broad comparison envelope. On 177 traditio",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/cover_letter_template.md,7,"ions, Pareto archives, frontier controllers, and baseline-preserving guards. The work is intentionally limited to logical resource estimation and does not claim hardware mapping, routing, native-gate scheduling, or noise-aware compilation. The main contribution is a search-based oracle synthesis workflow with a broad comparison envelope. On 177 traditional funct",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/cover_letter_template.md,7,"eto archives, frontier controllers, and baseline-preserving guards. The work is intentionally limited to logical resource estimation and does not claim hardware mapping, routing, native-gate scheduling, or noise-aware compilation. The main contribution is a search-based oracle synthesis workflow with a broad comparison envelope. On 177 traditional functions with n <= 6, Pareto",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/cover_letter_template.md,7,"rollers, and baseline-preserving guards. The work is intentionally limited to logical resource estimation and does not claim hardware mapping, routing, native-gate scheduling, or noise-aware compilation. The main contribution is a search-based oracle synthesis workflow with a broad comparison envelope. On 177 traditional functions with n <= 6, Pareto-Resource-NMCTS",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/artifact_reproduction_guide.md,32,"er counts up to 10 in recorded manifests - mockturtle, Caterpillar, CirKit, and RevKit provenance for external probes when present The logical resource results do not depend on hardware mapping, routing, native-gate scheduling, or physical noise simulation. ## Quick Rebuild Check From `resource_nmcts_experiment/`, run: ```bash ./rebuild_submission_package.sh ./verify_",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/artifact_reproduction_guide.md,32,"in recorded manifests - mockturtle, Caterpillar, CirKit, and RevKit provenance for external probes when present The logical resource results do not depend on hardware mapping, routing, native-gate scheduling, or physical noise simulation. ## Quick Rebuild Check From `resource_nmcts_experiment/`, run: ```bash ./rebuild_submission_package.sh ./verify_submissio",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/artifact_reproduction_guide.md,33,"ded manifests - mockturtle, Caterpillar, CirKit, and RevKit provenance for external probes when present The logical resource results do not depend on hardware mapping, routing, native-gate scheduling, or physical noise simulation. ## Quick Rebuild Check From `resource_nmcts_experiment/`, run: ```bash ./rebuild_submission_package.sh ./verify_submission_package.sh ``` This c",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/artifact_reproduction_guide.md,279,"onal rows; - T-count and weighted-score improvements reported separately from CNOT, depth, peak ancilla, and line-count tradeoffs. Do not interpret the artifact as evidence for hardware-mapped quantum-circuit performance, physical-device execution, or universal raw-resource dominance.",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/editor_screening_brief.md,13,"ed Neural Monte Carlo Tree Search for Quantum Boolean Oracle Synthesis"" The manuscript studies logical-layer synthesis of quantum Boolean bit-flip oracles. It does not propose a hardware-mapped quantum compiler. The method formulates synthesis as a resource-constrained search over ANF/FPRM term sets and uses neural action priors, Monte Carlo tree search, Boolean-ring ac",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/editor_screening_brief.md,33,"racle, and RevKit phase/Rz probes test whether the advantage persists beyond self-written baselines. These comparisons support robustness of the logical-layer result, not hardware-mapped optimality. 3. Internal search ablations: no-MCTS, learned-prior-off, guard-off, Pareto-archive-off, depth-frontier, sparse-frontier, and rank-diverse pruning runs separate",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/editor_screening_brief.md,95,"ical circuits within the stated scope. - Bounded learned-control benefits and planning-time savings from frontier and guard policies. ## Claims That Are Not Made - No claim of hardware mapping, routing, native-gate scheduling, noise-aware compilation, or magic-state-factory accounting. - No claim of universal CNOT, depth, ancilla, or line-count dominance. - No claim t",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/editor_screening_brief.md,95,"in the stated scope. - Bounded learned-control benefits and planning-time savings from frontier and guard policies. ## Claims That Are Not Made - No claim of hardware mapping, routing, native-gate scheduling, noise-aware compilation, or magic-state-factory accounting. - No claim of universal CNOT, depth, ancilla, or line-count dominance. - No claim that SSHR",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/editor_screening_brief.md,95,"ated scope. - Bounded learned-control benefits and planning-time savings from frontier and guard policies. ## Claims That Are Not Made - No claim of hardware mapping, routing, native-gate scheduling, noise-aware compilation, or magic-state-factory accounting. - No claim of universal CNOT, depth, ancilla, or line-count dominance. - No claim that SSHR is obsolete; it remains",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/editor_screening_brief.md,95,"arned-control benefits and planning-time savings from frontier and guard policies. ## Claims That Are Not Made - No claim of hardware mapping, routing, native-gate scheduling, noise-aware compilation, or magic-state-factory accounting. - No claim of universal CNOT, depth, ancilla, or line-count dominance. - No claim that SSHR is obsolete; it remains a strong CNOT",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/editor_screening_brief.md,96,"nning-time savings from frontier and guard policies. ## Claims That Are Not Made - No claim of hardware mapping, routing, native-gate scheduling, noise-aware compilation, or magic-state-factory accounting. - No claim of universal CNOT, depth, ancilla, or line-count dominance. - No claim that SSHR is obsolete; it remains a strong CNOT-oriented small-scale counterpoint.",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,unqualified optimality claim,guarded,submission_package/editor_screening_brief.md,33,"t phase/Rz probes test whether the advantage persists beyond self-written baselines. These comparisons support robustness of the logical-layer result, not hardware-mapped optimality. 3. Internal search ablations: no-MCTS, learned-prior-off, guard-off, Pareto-archive-off, depth-frontier, sparse-frontier, and rank-diverse pruning runs separate the contrib",Optimality and state-of-the-art language require stronger exhaustive or venue-specific evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/reviewer_concern_brief.md,80,"/threats audits keep the result at the logical layer. The audit marks these as excluded and not supported claims: a deep-learning-only explanation, neural semantic certification, hardware mapping, or global optimality. Manuscript anchors: - Neural/MCTS claim-calibration audit - Search-control baseline audit - Learned-control audit - Threats-to-validity audit - Claim-scope",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,universal dominance claim,guarded,submission_package/reviewer_concern_brief.md,46,"ph - Claim-scope lint - Reproducibility and archive manifests ## Does the method dominate every resource? No. The paper claims strong T-count and weighted-score advantages, not universal dominance. It explicitly reports tradeoffs: SSHR remains a strong CNOT counterpoint, Caterpillar API is a CNOT-only implementation-family counterpoint, CirKit is often shallower, and RevKi","The paper supports T-count and weighted-score advantages, not all-metric dominance.",No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,unqualified optimality claim,guarded,submission_package/reviewer_concern_brief.md,81,"ult at the logical layer. The audit marks these as excluded and not supported claims: a deep-learning-only explanation, neural semantic certification, hardware mapping, or global optimality. Manuscript anchors: - Neural/MCTS claim-calibration audit - Search-control baseline audit - Learned-control audit - Threats-to-validity audit - Claim-scope lint ## Does the lar",Optimality and state-of-the-art language require stronger exhaustive or venue-specific evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/target_venue_brief.md,34,"phase/Rz probes; - T-count and weighted-score improvements with CNOT, depth, and ancilla trade-offs reported separately. The manuscript should not be sent to a venue expecting hardware mapping, native-gate scheduling, physical noise models, or experimental quantum-device execution unless those sections are added later. ## Shortlist | order | venue | short name | fit |",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/target_venue_brief.md,35,"- T-count and weighted-score improvements with CNOT, depth, and ancilla trade-offs reported separately. The manuscript should not be sent to a venue expecting hardware mapping, native-gate scheduling, physical noise models, or experimental quantum-device execution unless those sections are added later. ## Shortlist | order | venue | short name | fit | fit_score | why it fits",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/author_declarations_template.md,36,"esource_nmcts_submission_v1.tex` - Current manuscript PDF: `paper_latex/resource_nmcts_submission_v1.pdf` - Scope boundary: logical-layer quantum Boolean oracle synthesis only; no hardware mapping, routing, native-gate scheduling, noise model, or magic-state-factory resource estimate. ## Authors and Affiliations AUTHOR INPUT REQUIRED: - Author list in journal order: - ORC",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/author_declarations_template.md,36,"ission_v1.tex` - Current manuscript PDF: `paper_latex/resource_nmcts_submission_v1.pdf` - Scope boundary: logical-layer quantum Boolean oracle synthesis only; no hardware mapping, routing, native-gate scheduling, noise model, or magic-state-factory resource estimate. ## Authors and Affiliations AUTHOR INPUT REQUIRED: - Author list in journal order: - ORCID IDs: -",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/author_declarations_template.md,36,".tex` - Current manuscript PDF: `paper_latex/resource_nmcts_submission_v1.pdf` - Scope boundary: logical-layer quantum Boolean oracle synthesis only; no hardware mapping, routing, native-gate scheduling, noise model, or magic-state-factory resource estimate. ## Authors and Affiliations AUTHOR INPUT REQUIRED: - Author list in journal order: - ORCID IDs: - Affiliations: - Corresp",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/author_declarations_template.md,36,"atex/resource_nmcts_submission_v1.pdf` - Scope boundary: logical-layer quantum Boolean oracle synthesis only; no hardware mapping, routing, native-gate scheduling, noise model, or magic-state-factory resource estimate. ## Authors and Affiliations AUTHOR INPUT REQUIRED: - Author list in journal order: - ORCID IDs: - Affiliations: - Corresponding author: - Author email address",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/submission_checklist.md,204,"e verifier: all read-only package invariants pass. - LaTeX warning status: only the existing `\showhyphens` package warning should remain. ## Claim Boundary Check - Do not claim hardware mapping, routing, native-gate scheduling, or noise-aware compilation. - Do not claim universal dominance over SSHR, CirKit, RevKit, or all CNOT/depth/ancilla metrics. - Keep ROS-style LUT",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/submission_checklist.md,204,"ad-only package invariants pass. - LaTeX warning status: only the existing `\showhyphens` package warning should remain. ## Claim Boundary Check - Do not claim hardware mapping, routing, native-gate scheduling, or noise-aware compilation. - Do not claim universal dominance over SSHR, CirKit, RevKit, or all CNOT/depth/ancilla metrics. - Keep ROS-style LUT results",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/submission_checklist.md,204,"ackage invariants pass. - LaTeX warning status: only the existing `\showhyphens` package warning should remain. ## Claim Boundary Check - Do not claim hardware mapping, routing, native-gate scheduling, or noise-aware compilation. - Do not claim universal dominance over SSHR, CirKit, RevKit, or all CNOT/depth/ancilla metrics. - Keep ROS-style LUT results framed as proxy evidence",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/submission_checklist.md,204,"aTeX warning status: only the existing `\showhyphens` package warning should remain. ## Claim Boundary Check - Do not claim hardware mapping, routing, native-gate scheduling, or noise-aware compilation. - Do not claim universal dominance over SSHR, CirKit, RevKit, or all CNOT/depth/ancilla metrics. - Keep ROS-style LUT results framed as proxy evidence; `analysis_ros_",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,universal dominance claim,guarded,submission_package/submission_checklist.md,205,"\showhyphens` package warning should remain. ## Claim Boundary Check - Do not claim hardware mapping, routing, native-gate scheduling, or noise-aware compilation. - Do not claim universal dominance over SSHR, CirKit, RevKit, or all CNOT/depth/ancilla metrics. - Keep ROS-style LUT results framed as proxy evidence; `analysis_ros_reproduction_gap_audit.md` must show zero `needs","The paper supports T-count and weighted-score advantages, not all-metric dominance.",No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,full external reproduction claim,guarded,submission_package/submission_checklist.md,173,"ANF-XAG strategy rows and 177/177 best-of-Caterpillar rows are verified on the traditional `n<=6` functions; this is a bounded implementation-family counterpoint, not a standalone/full ROS baseline. - ROS reproduction gap audit: ROS-style LUT, line-sensitivity, Caterpillar source-family/API, and executable garbage-pressure rows are proxy or boundary evidence; the of","The ROS and RevKit branches are bounded probes, not full external compiler reproductions.",No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,full external reproduction claim,guarded,submission_package/submission_checklist.md,207,"alysis_ros_reproduction_gap_audit.md` must show zero `needs revision` rows before upload. - Keep RevKit `oracle_synth` framed as a phase/Rz lower-bound or sensitivity probe, not a final Clifford+T comparison. - Keep learned-control claims bounded: neural controls contribute measurable guarded or pruning gains, but the largest gains come from the algebraic action space and g","The ROS and RevKit branches are bounded probes, not full external compiler reproductions.",No action if the surrounding sentence is explicitly negative or limiting.
